file_id,filename,genre,artist,cluster
0,classical_classical_artist1_00.wav,classical,classical_artist1,2
1,classical_classical_artist1_01.wav,classical,classical_artist1,2
3,classical_classical_artist1_03.wav,classical,classical_artist1,2
7,classical_classical_artist1_07.wav,classical,classical_artist1,2
8,classical_classical_artist1_08.wav,classical,classical_artist1,2
12,classical_classical_artist2_02.wav,classical,classical_artist2,2
13,classical_classical_artist2_03.wav,classical,classical_artist2,2
14,classical_classical_artist2_04.wav,classical,classical_artist2,2
18,classical_classical_artist2_08.wav,classical,classical_artist2,2
19,classical_classical_artist2_09.wav,classical,classical_artist2,2
23,classical_classical_artist3_03.wav,classical,classical_artist3,2
24,classical_classical_artist3_04.wav,classical,classical_artist3,2
26,classical_classical_artist3_06.wav,classical,classical_artist3,2
27,classical_classical_artist3_07.wav,classical,classical_artist3,2
29,classical_classical_artist3_09.wav,classical,classical_artist3,2
30,electronic_electronic_artist1_00.wav,electronic,electronic_artist1,0
34,electronic_electronic_artist1_04.wav,electronic,electronic_artist1,0
35,electronic_electronic_artist1_05.wav,electronic,electronic_artist1,0
38,electronic_electronic_artist1_08.wav,electronic,electronic_artist1,0
39,electronic_electronic_artist1_09.wav,electronic,electronic_artist1,0
40,electronic_electronic_artist2_00.wav,electronic,electronic_artist2,0
42,electronic_electronic_artist2_02.wav,electronic,electronic_artist2,0
43,electronic_electronic_artist2_03.wav,electronic,electronic_artist2,0
48,electronic_electronic_artist2_08.wav,electronic,electronic_artist2,0
49,electronic_electronic_artist2_09.wav,electronic,electronic_artist2,0
50,electronic_electronic_artist3_00.wav,electronic,electronic_artist3,0
52,electronic_electronic_artist3_02.wav,electronic,electronic_artist3,0
54,electronic_electronic_artist3_04.wav,electronic,electronic_artist3,0
55,electronic_electronic_artist3_05.wav,electronic,electronic_artist3,0
56,electronic_electronic_artist3_06.wav,electronic,electronic_artist3,0
63,rock_rock_artist1_03.wav,rock,rock_artist1,3
64,rock_rock_artist1_04.wav,rock,rock_artist1,3
67,rock_rock_artist1_07.wav,rock,rock_artist1,3
68,rock_rock_artist1_08.wav,rock,rock_artist1,3
69,rock_rock_artist1_09.wav,rock,rock_artist1,3
70,rock_rock_artist2_00.wav,rock,rock_artist2,3
73,rock_rock_artist2_03.wav,rock,rock_artist2,3
74,rock_rock_artist2_04.wav,rock,rock_artist2,3
75,rock_rock_artist2_05.wav,rock,rock_artist2,3
77,rock_rock_artist2_07.wav,rock,rock_artist2,3
80,rock_rock_artist3_00.wav,rock,rock_artist3,3
81,rock_rock_artist3_01.wav,rock,rock_artist3,3
83,rock_rock_artist3_03.wav,rock,rock_artist3,3
86,rock_rock_artist3_06.wav,rock,rock_artist3,3
89,rock_rock_artist3_09.wav,rock,rock_artist3,3
90,jazz_jazz_artist1_00.wav,jazz,jazz_artist1,1
91,jazz_jazz_artist1_01.wav,jazz,jazz_artist1,1
93,jazz_jazz_artist1_03.wav,jazz,jazz_artist1,1
95,jazz_jazz_artist1_05.wav,jazz,jazz_artist1,1
97,jazz_jazz_artist1_07.wav,jazz,jazz_artist1,1
103,jazz_jazz_artist2_03.wav,jazz,jazz_artist2,1
104,jazz_jazz_artist2_04.wav,jazz,jazz_artist2,1
105,jazz_jazz_artist2_05.wav,jazz,jazz_artist2,1
108,jazz_jazz_artist2_08.wav,jazz,jazz_artist2,1
109,jazz_jazz_artist2_09.wav,jazz,jazz_artist2,1
111,jazz_jazz_artist3_01.wav,jazz,jazz_artist3,1
112,jazz_jazz_artist3_02.wav,jazz,jazz_artist3,1
114,jazz_jazz_artist3_04.wav,jazz,jazz_artist3,1
116,jazz_jazz_artist3_06.wav,jazz,jazz_artist3,1
119,jazz_jazz_artist3_09.wav,jazz,jazz_artist3,1
